Pomoxis,thiopeptide,2
Pomoxis,NRPS,11
Pomoxis,NRPS-like,1
Pomoxis,betalactone,2
Pomoxis,hserlactone,2
Pomoxis,phenazine,2
Pomoxis,bacteriocin,3
Pomoxis,TransAT-PKS-like,1
Pomoxis,siderophore,3
Pomoxis,terpene,4
Pomoxis,sactipeptide,1
Pomoxis,head_to_tail,1
Pomoxis,lanthipeptide,1
Pomoxis,CDPS,1
Pomoxis,phosphonate,0
Pomoxis,lassopeptide,3
Pomoxis,arylpolyene,0
Pomoxis,other,1
Pomoxis,TransAT-PKS,1
Pomoxis,PKS-like,0
Pomoxis,T3PKS,4
Pomoxis,LAP,0
Pomoxis,NAGGN,0
Pomoxis-medaka,thiopeptide,3
Pomoxis-medaka,NRPS,11
Pomoxis-medaka,NRPS-like,2
Pomoxis-medaka,betalactone,2
Pomoxis-medaka,hserlactone,1
Pomoxis-medaka,phenazine,2
Pomoxis-medaka,bacteriocin,4
Pomoxis-medaka,TransAT-PKS-like,1
Pomoxis-medaka,siderophore,3
Pomoxis-medaka,terpene,3
Pomoxis-medaka,sactipeptide,1
Pomoxis-medaka,head_to_tail,1
Pomoxis-medaka,lanthipeptide,1
Pomoxis-medaka,CDPS,1
Pomoxis-medaka,phosphonate,1
Pomoxis-medaka,lassopeptide,0
Pomoxis-medaka,arylpolyene,0
Pomoxis-medaka,other,1
Pomoxis-medaka,TransAT-PKS,1
Pomoxis-medaka,PKS-like,1
Pomoxis-medaka,T3PKS,4
Pomoxis-medaka,LAP,1
Pomoxis-medaka,NAGGN,0
Reference,thiopeptide,3
Reference,NRPS,11
Reference,NRPS-like,5
Reference,betalactone,2
Reference,hserlactone,2
Reference,phenazine,2
Reference,bacteriocin,5
Reference,TransAT-PKS-like,1
Reference,siderophore,3
Reference,terpene,6
Reference,sactipeptide,1
Reference,head_to_tail,1
Reference,lanthipeptide,1
Reference,CDPS,1
Reference,phosphonate,1
Reference,lassopeptide,0
Reference,arylpolyene,0
Reference,other,1
Reference,TransAT-PKS,2
Reference,PKS-like,1
Reference,T3PKS,4
Reference,LAP,1
Reference,NAGGN,1
